 4.41000000e+02
 0.0000000000000000e+00 -5.8004633635217763e-04
 3.4864139884096890e-05 4.1952118208454472e-04
 1.8733881742677441e-04 1.4080091780671637e-03
 4.3475327647799980e-04 2.3771305159012951e-03
 7.5951778511928862e-04 3.3231600960517698e-03
 1.1486819603387787e-03 4.2446034224289169e-03
 1.5936347076351413e-03 5.1404720485306856e-03
 2.0895094228950018e-03 6.0092237268656104e-03
 2.6322313147144321e-03 6.8495570065471205e-03
 3.2170442857496397e-03 7.6612132550296164e-03
 3.8389972715296328e-03 8.4448370398276327e-03
 4.4931180596044853e-03 9.2018893467332562e-03
 5.1746021200280972e-03 9.9344914035630737e-03
 5.8789082145380908e-03 1.0645279317194858e-02
 6.6018146388138778e-03 1.1337252730804034e-02
 7.3394221044774648e-03 1.2013668246943637e-02
 8.0894130517984685e-03 1.2676471618336122e-02
 8.8510507434810034e-03 1.3326030609313352e-02
 9.6237420182154806e-03 1.3962596923846616e-02
 1.0406906801360893e-02 1.4586457839371583e-02
 1.1199993445423382e-02 1.5197914225340413e-02
 1.2002475316992025e-02 1.5797283222570707e-02
 1.2813852086809593e-02 1.6384894617930107e-02
 1.3633649476295574e-02 1.6961089248988041e-02
 1.4461419243861715e-02 1.7526217121578709e-02
 1.5296738785297127e-02 1.8080636170284398e-02
 1.6139211306239364e-02 1.8624710236218440e-02
 1.6988463591183400e-02 1.9158810975214501e-02
 1.7844156201653260e-02 1.9683300133157468e-02
 1.8706025452383774e-02 2.0198456109425188e-02
 1.9573863605786789e-02 2.0704499253245748e-02
 2.0447474468396808e-02 2.1201663047206904e-02
 2.1326677294526919e-02 2.1690189192874850e-02
 2.2211306740674945e-02 2.2170328891230655e-02
 2.3101214265178624e-02 2.2642342038716005e-02
 2.3996269227721488e-02 2.3106497086002899e-02
 2.4896360181207559e-02 2.3563070832056266e-02
 2.5801396249980540e-02 2.4012348358611650e-02
 2.6711308651304277e-02 2.4454623060076747e-02
 2.7626052374537528e-02 2.4890196793220153e-02
 2.8545608049879014e-02 2.5319380148146733e-02
 2.9469984022877264e-02 2.5742492869681357e-02
 3.0399218708752278e-02 2.6159864377853517e-02
 3.1333383098027225e-02 2.6571834639934667e-02
 3.2272585737145414e-02 2.6978750600002141e-02
 3.3217013771022486e-02 2.7380877672332507e-02
 3.4166935884205787e-02 2.7778397259285093e-02
 3.5122666661030207e-02 2.8171498027983511e-02
 3.6084570262250003e-02 2.8560380573823950e-02
 3.7053066074059851e-02 2.8945258630579011e-02
 3.8028635145654431e-02 2.9326360202307191e-02
